_url,name,birth_year,weight,height,nationality
juan-caldentey,Juan  Caldentey,1962.0,,,Spain
federico-echave,Federico  Echave,1960.0,,,Spain
thomas-bodo,Thomas  Bodo,1980.0,,,France
fabio-taborre,Fabio  Taborre,1985.0,66.0,178.0,Italy
iuri-filosi,Iuri  Filosi,1992.0,70.0,184.0,Italy
xavier-jan,Xavier  Jan,1970.0,62.0,174.0,France
gang-xu,Gang  Xu,1984.0,69.0,187.0,China
thomas-boudat,Thomas  Boudat,1994.0,70.0,175.0,France
dave-bruylandts,Dave  Bruylandts,1976.0,63.0,178.0,Belgium
alphonse-vermote,Alphonse  Vermote,1990.0,74.0,187.0,Belgium
marc-wauters,Marc  Wauters,1969.0,73.0,185.0,Belgium
alois-wouters,Alois  Wouters,1962.0,,,Belgium
alberto-dainese,Alberto  Dainese,1998.0,70.0,174.0,Italy
alexandre-chouffe,Alexandre  Chouffe,1974.0,,,France
tarik-chaoufi,Tarik  Chaoufi,1986.0,65.0,174.0,Morocco
alfio-vandi,Alfio  Vandi,1955.0,64.0,178.0,Italy
albert-hulzebosch,Albert  Hulzebosch,1949.0,,,Netherlands
gary-dowdell,Gary  Dowdell,1959.0,,,Great Britain
javier-palacin-salgao,Javier  Palacín,1971.0,,,Spain
maurizio-caravaggio,Maurizio  Caravaggio,1976.0,,,Italy
manuel-fernandez-gines,Manuel  Fernández Ginés,1971.0,,,Spain
gianfranco-bianchin,Gianfranco  Bianchin,1947.0,,,Italy
mirko-gualdi,Mirko  Gualdi,1968.0,68.0,172.0,Italy
stefan-bissegger,Stefan  Bissegger,1998.0,78.0,181.0,Switzerland
david-zabriskie,David  Zabriskie,1979.0,67.0,183.0,United States
jeanluc-garnier,Jean-luc  Garnier,1961.0,,,France
uwe-hardter,Uwe  Hardter,1977.0,,,Germany
alvaro-forner,Álvaro  Forner,1972.0,,,Spain
richard-groenendaal,Richard  Groenendaal,1971.0,66.0,176.0,Netherlands
jasper-philipsen,Jasper  Philipsen,1998.0,75.0,176.0,Belgium
jose-casas-garcia,José  Casas,1945.0,,,Spain
javier-ruiz-de-larrinaga-ibanez,Javier  Ruiz de Larrinaga,1979.0,,,Spain
joan-horrach,Joan Sebastian  Horrach,1974.0,70.0,179.0,Spain
kristof-de-zutter,Kristof De Zutter,1982.0,,,Belgium
julen-fernandez,Julen  Fernandez,1978.0,,,Spain
vegard-stake-laengen,Vegard Stake  Laengen,1989.0,79.0,195.0,Norway
liam-slock,Liam  Slock,2000.0,78.0,188.0,Belgium
kristian-sbaragli,Kristian  Sbaragli,1990.0,74.0,175.0,Italy
cesar-garcia-calvo,César  García Calvo,1974.0,,,Spain
christoph-pfingsten,Christoph  Pfingsten,1987.0,69.0,179.0,Germany
maarten-wynants,Maarten  Wynants,1982.0,74.0,190.0,Belgium
rob-mulders,Rob  Mulders,1967.0,,,Netherlands
valentin-paret-peintre,Valentin  Paret-Peintre,2001.0,52.0,176.0,France
connor-swift,Connor  Swift,1995.0,75.0,190.0,Great Britain
valerio-piva,Valerio  Piva,1958.0,,,Italy
david-assuncao,David  Assuncao,1967.0,,,Portugal
jake-stewart,Jake  Stewart,1999.0,66.0,179.0,Great Britain
calum-johnston,Calum  Johnston,1998.0,55.0,173.0,Great Britain
janier-alexis-acevedo,Janier  Acevedo,1985.0,63.0,175.0,Colombia
fabrice-jeandesboz,Fabrice  Jeandesboz,1984.0,69.0,179.0,France
jean-francois-bernard,Jean-François  Bernard,1962.0,,,France
herman-crabbe,Herman  Crabbe,1959.0,,,Belgium
roberto-lezaun,Roberto  Lezaun,1967.0,65.0,170.0,Spain
sven-montgomery,Sven  Montgomery,1976.0,62.0,178.0,Switzerland
robbie-vandaele,Robbie  Vandaele,1972.0,,,Belgium
rudiger-selig,Rüdiger  Selig,1989.0,80.0,188.0,Germany
antonio-cabello,Antonio  Cabello,1956.0,,,Spain
tom-leaper,Tom  Leaper,1975.0,,,Australia
jose-luis-rodriguez-garcia,José Luis  Rodríguez,1966.0,,,Spain
henk-prinsen,Henk  Prinsen,1951.0,,,Netherlands
jose-fabio,José Fabio  Moreno,1965.0,,,Colombia
peter-gansler,Peter  Gansler,1963.0,,,Germany
julian-dean,Julian  Dean,1975.0,72.0,178.0,New Zealand
remy-rochas,Rémy  Rochas,1996.0,51.0,164.0,France
massimiliano-lelli,Massimiliano  Lelli,1967.0,69.0,175.0,Italy
charles-wegelius,Charles  Wegelius,1978.0,62.0,180.0,Great Britain
thomas-wegmuller,Thomas  Wegmuller,1960.0,,,Switzerland
valentin-ferron,Valentin  Ferron,1998.0,67.0,174.0,France
ramon-sinkeldam,Ramon  Sinkeldam,1989.0,77.0,193.0,Netherlands
werner-devos,Werner  Devos,1957.0,,,Belgium
javier-cherro,Javier  Cherro,1980.0,,,Spain
urs-zimmermann,Urs  Zimmermann,1959.0,,,Switzerland
roland-salm,Roland  Salm,1951.0,,,Switzerland
albert-fritz,Albert  Fritz,1947.0,,,Germany
tim-declercq,Tim  Declercq,1989.0,78.0,190.0,Belgium
vitali-kokorine,Vitali  Kokorine,1975.0,,,Russia
alberto-leanizbarrutia-abaunza,Alberto  Leanizbarrutia,1963.0,,,Spain
cedric-coutouly,Cédric  Coutouly,1980.0,72.0,184.0,France
sebastien-van-den-abeele,Sébastien Van Den Abeele,1970.0,,,Belgium
alessandro-pessot,Alessandro  Pessot,1995.0,75.0,192.0,Italy
marc-sohet,Marc  Sohet,1947.0,,,Belgium
valerio-agnoli,Valerio  Agnoli,1985.0,72.0,178.0,Italy
franck-jarno,Franck  Jarno,1970.0,,,France
janez-brajkovic,Janez  Brajkovič,1983.0,60.0,175.0,Slovenia
alain-turicchia,Alain  Turicchia,1975.0,,,Italy
peter-meinert-nielsen,Peter  Meinert-Nielsen,1966.0,73.0,190.0,Denmark
sean-de-bie,Sean De Bie,1991.0,65.0,173.0,Belgium
marco-giroletti,Marco  Giroletti,1972.0,,,Italy
ibon-ajuria,Ibon  Ajuria,1971.0,,,Spain
andrea-palini,Andrea  Palini,1989.0,67.0,175.0,Italy
nuno-duarte-silva-marta,Nuño Duarte Silva  Marta,1976.0,,,Portugal
plamen-stoyanov,Plamen  Stoyanov,1971.0,,,Bulgaria
david-drouin,David  Drouin,1995.0,,,Canada
firmino-bernardino,Firmino  Bernardino,1950.0,,,Portugal
eric-wohlberg,Eric  Wohlberg,1965.0,63.0,170.0,Canada
benjamin-verraes,Benjamin  Verraes,1987.0,73.0,183.0,Belgium
raffaele-illiano,Raffaele  Illiano,1977.0,,,Italy
robert-de-guchtenaere,Robert De Guchtenaere,1949.0,,,Belgium
aitor-garmendia,Aitor  Garmendia,1968.0,68.0,175.0,Spain
marco-pantani,Marco  Pantani,1970.0,58.0,172.0,Italy
mariusz-witecki,Mariusz  Witecki,1981.0,70.0,184.0,Poland
etienne-van-empel,Etienne van Empel,1994.0,64.0,186.0,Netherlands
dailos-diaz-armas,Dailos Manuel  Díaz Armas,1980.0,,,Spain
mathijs-paasschens,Mathijs  Paasschens,1996.0,75.0,188.0,Netherlands
didier-rous,Didier  Rous,1970.0,70.0,182.0,France
bruno-armirail,Bruno  Armirail,1994.0,74.0,190.0,France
alain-meslet,Alain  Meslet,1950.0,,,France
emmanuel-hubert,Emmanuel  Hubert,1970.0,,,France
guy-dolhats,Guy  Dolhats,1952.0,,,France
robert-vrecer,Robert  Vrečer,1980.0,68.0,182.0,Slovenia
angel-lopez-del-alamo,Ángel  López,1949.0,,,Spain
roberto-amadio,Roberto  Amadio,1963.0,,,Italy
paolo-cimini,Paolo  Cimini,1964.0,,,Italy
antonio-gonzalez,Antonio  González,1954.0,,,Spain
bernard-vifian,Bernard  Vifian,1944.0,,,Switzerland
emilio-garcia-perez,Emilio  Garcia,1959.0,,,Spain
rikkie-matthijssens,Rikkie  Matthijssens,1972.0,,,Belgium
carlos-barredo,Carlos  Barredo,1981.0,61.0,177.0,Spain
davide-dall-olio,Davide  Dall'Olio,1969.0,,,Italy
charly-mottet,Charly  Mottet,1962.0,,164.0,France
oscar-gatto,Oscar  Gatto,1985.0,67.0,174.0,Italy
ronny-van-holen,Ronny Van Holen,1959.0,,,Belgium
valerio-lualdi,Valerio  Lualdi,1951.0,,,Italy
antonio-salutini,Antonio  Salutini,1947.0,,,Italy
daniel-alejandro-mendez-norena,Daniel Alejandro  Mendez,2000.0,57.0,171.0,Colombia
timothy-dupont,Timothy  Dupont,1987.0,72.0,179.0,Belgium
jose-ramon-uriarte,José Ramón  Uriarte,1967.0,,,Spain
andrea-zatti-1,Andrea  Zatti,1973.0,,,Italy
ward-sels,Ward  Sels,1941.0,,,Belgium
greg-randolph,Greg  Randolph,1972.0,,,United States
ercole-gualazzini,Ercole  Gualazzini,1944.0,,,Italy
jacob-rathe,Jacob  Rathe,1991.0,74.0,185.0,United States
jarl-salomein,Jarl  Salomein,1989.0,80.0,193.0,Belgium
scott-davis,Scott  Davis,1979.0,60.0,170.0,Australia
geraint-thomas,Geraint  Thomas,1986.0,71.0,183.0,Great Britain
sergio-previtali,Sergio  Previtali,1969.0,,,Italy
joseba-ruiz,Joseba  Ruiz,1965.0,,,Spain
rafael-reis,Rafael  Reis,1992.0,72.0,189.0,Portugal
remy-mertz,Rémy  Mertz,1995.0,70.0,175.0,Belgium
pier-paolo-de-negri,Pier Paolo De Negri,1986.0,61.0,170.0,Italy
dieter-runkel,Dieter  Runkel,1966.0,,,Switzerland
mitja-mahoric,Mitja  Mahorič,1976.0,68.0,184.0,Slovenia
martin-laas,Martin  Laas,1993.0,76.0,176.0,Estonia
enrico-magazzini,Enrico  Magazzini,1988.0,58.0,169.0,Italy
silvio-martinello,Silvio  Martinello,1963.0,71.0,179.0,Italy
simone-andreetta,Simone  Andreetta,1993.0,69.0,183.0,Italy
valery-kobzarenko,Valery  Kobzarenko,1977.0,,,Ukraine
eric-knuvers,Eric  Knuvers,1966.0,,,Netherlands
david-dekker,David  Dekker,1998.0,80.0,190.0,Netherlands
maurizio-bertini,Maurizio  Bertini,1955.0,,,Italy
jhonatan-restrepo,Jhonatan  Restrepo,1994.0,73.0,178.0,Colombia
rodrigo-contreras,Rodrigo  Contreras,1994.0,68.0,180.0,Colombia
serhiy-ushakov,Serhiy  Ushakov,1968.0,73.0,179.0,Ukraine
emiliano-murtas,Emiliano  Murtas,1973.0,,,Italy
joaquin-llach,Joaquin  Llach,1964.0,58.0,167.0,Spain
pavel-cherkasov,Pavel  Cherkasov,1972.0,,,Russia
saul-raisin,Saul  Raisin,1983.0,,,United States
gorik-gardeyn,Gorik  Gardeyn,1980.0,75.0,182.0,Belgium
alberto-losada,Alberto  Losada,1982.0,69.0,180.0,Spain
luca-dodi,Luca  Dodi,1987.0,65.0,180.0,Italy
etienne-de-wilde,Etienne De Wilde,1958.0,70.0,172.0,Belgium
enrico-cassani,Enrico  Cassani,1972.0,65.0,175.0,Italy
rosario-fina,Rosario  Fina,1969.0,,,Italy
jean-francois-rault,Jean-François  Rault,1958.0,,,France
imanol-erviti,Imanol  Erviti,1983.0,82.0,190.0,Spain
gustavo-dominguez-lemos,Gustavo  Domínguez,1980.0,,,Spain
james-mitri,James  Mitri,1999.0,60.0,178.0,New Zealand
marco-saligari,Marco  Saligari,1965.0,,,Italy
marc-durant,Marc  Durant,1955.0,,,France
jacques-hochart,Jacques  Hochart,1948.0,,,France
alain-vigneron,Alain  Vigneron,1954.0,,,France
luca-celli,Luca  Celli,1979.0,69.0,187.0,Italy
john-freddy-garcia,John Freddy  Garcia,1974.0,,,Colombia
gerrie-van-gerwen,Gerrie van Gerwen,1953.0,,,Netherlands
matthew-dinham,Matthew  Dinham,2000.0,63.0,175.0,Australia
juan-esteban-arango,Juan Esteban  Arango,1986.0,62.0,172.0,Colombia
simon-clarke,Simon  Clarke,1986.0,63.0,175.0,Australia
matteo-tosatto,Matteo  Tosatto,1974.0,74.0,181.0,Italy
gianni-motta,Gianni  Motta,1943.0,,,Italy
yvan-lamote,Yvan  Lamote,1958.0,,,Belgium
graziano-salvietti,Graziano  Salvietti,1956.0,,,Italy
tobias-bayer,Tobias  Bayer,1999.0,71.0,187.0,Austria
yann-huguet,Yann  Huguet,1984.0,66.0,177.0,France
eddy-gragus,Eddy  Gragus,1968.0,,,United States
alex-van-linden,Alex Van Linden,1952.0,,,Belgium
eduardo-ruiz,Eduardo  Ruiz,1966.0,,,Spain
anton-palzer,Anton  Palzer,1993.0,62.0,178.0,Germany
michael-bresciani,Michael  Bresciani,1994.0,,,Italy
nans-peters,Nans  Peters,1994.0,71.0,177.0,France
guy-sagiv,Guy  Sagiv,1994.0,68.0,180.0,Israel
andy-flickinger,Andy  Flickinger,1978.0,78.0,193.0,France
laurent-brochard,Laurent  Brochard,1968.0,68.0,180.0,France
simone-cheli,Simone  Cheli,1971.0,,,Italy
antonio-girabent,Antonio  Girabent,1959.0,,,Spain
oscar-riesebeek,Oscar  Riesebeek,1992.0,78.0,191.0,Netherlands
jeff-pierce,Jeff  Pierce,1958.0,,,United States
janusz-kowalski,Janusz  Kowalski,1952.0,,,Poland
juan-fernandez-martin,Juan  Fernández,1957.0,68.0,174.0,Spain
andrus-aug,Andrus  Aug,1972.0,83.0,190.0,Estonia
miguel-angel-martin-perdiguero,Miguel Ángel  Martín Perdiguero,1972.0,63.0,169.0,Spain
stefan-rakers,Stefan  Rakers,1966.0,,,Netherlands
danny-nelissen,Danny  Nelissen,1970.0,,,Netherlands
jaime-salva,Jaime  Salva,1962.0,,,Spain
antonio-puppio,Antonio  Puppio,1999.0,75.0,186.0,Italy
richard-carapaz,Richard  Carapaz,1993.0,62.0,170.0,Ecuador
filippo-fortin,Filippo  Fortin,1989.0,78.0,183.0,Italy
harry-rozendal,Harry  Rozendal,1965.0,,,Netherlands
moretti-roberto,Roberto  Moretti,1970.0,,,Italy
leon-thomas,Léon  Thomas,1949.0,,,Belgium
bert-scheunemann,Bert  Scheunemann,1954.0,,,Netherlands
bryan-nauleau,Bryan  Nauleau,1988.0,67.0,181.0,France
jose-teixeira-rodriguez,José  Teixeira,1957.0,,,Spain
jorge-cubero,Jorge  Cubero,1992.0,65.0,181.0,Spain
steve-de-wolf,Steve De Wolf,1975.0,67.0,183.0,Belgium
nicola-bagioli,Nicola  Bagioli,1995.0,64.0,168.0,Italy
chris-pepels,Chris  Pepels,1948.0,,,Netherlands
matteo-fabbro,Matteo  Fabbro,1995.0,52.0,167.0,Italy
nikolay-cherkasov,Nikolay  Cherkasov,1996.0,68.0,182.0,Russia
jean-marie-wampers,Jean-Marie  Wampers,1959.0,82.0,188.0,Belgium
remi-pauriol,Rémi  Pauriol,1982.0,68.0,181.0,France
israel-ochoa,Israel Antonio  Ochoa,1964.0,,,Colombia
mauro-gianetti,Mauro  Gianetti,1964.0,62.0,175.0,Switzerland
adam-toupalik,Adam  Ťoupalík,1996.0,65.0,175.0,Czech Republic
giuseppe-calcaterra,Giuseppe  Calcaterra,1964.0,,,Italy
philippe-leleu,Philippe  Leleu,1958.0,,,France
johannes-staune-mittet,Johannes  Staune-Mittet,2002.0,,182.0,Norway
federico-canuti,Federico  Canuti,1985.0,68.0,182.0,Italy
kilian-frankiny,Kilian  Frankiny,1994.0,67.0,179.0,Switzerland
giovanni-aleotti,Giovanni  Aleotti,1999.0,67.0,180.0,Italy
ben-koken,Ben  Koken,1950.0,,,Netherlands
david-gonzalez-lopez,David  González,1996.0,68.0,180.0,Spain
patrick-friou,Patrick  Friou,1955.0,,,France
robert-stannard,Robert  Stannard,1998.0,74.0,179.0,Australia
damon-kluck,Damon  Kluck,1977.0,,,United States
marcin-sapa,Marcin  Sapa,1976.0,82.0,179.0,Poland
santiago-buitrago-sanchez,Santiago  Buitrago,1999.0,59.0,174.0,Colombia
fabrice-piemontesi,Fabrice  Piemontesi,1983.0,61.0,171.0,Italy
benat-albizuri-aransolo,Beñat  Albizuri,1981.0,69.0,173.0,Spain
domingo-jose-sanchez-segado,Domingo José  Sánchez,1970.0,,,Spain
gianluca-brugnami,Gianluca  Brugnami,1963.0,,,Italy
maxat-ayazbayev,Maxat  Ayazbayev,1992.0,75.0,189.0,Kazakhstan
michael-kukrle,Michael  Kukrle,1994.0,73.0,185.0,Czech Republic
riccardo-ferrari,Riccardo  Ferrari,1972.0,,,Italy
murilo-ferraz-affonso,Murilo  Affonso,1991.0,63.0,175.0,Brazil
francesco-gavazzi,Francesco  Gavazzi,1984.0,65.0,171.0,Italy
ewen-costiou,Ewen  Costiou,2002.0,64.0,176.0,France
jose-javier-gomez,Jose Javier  Gomez,1974.0,,,Spain
pieter-jacobs,Pieter  Jacobs,1986.0,68.0,182.0,Belgium
francisco-fernandez-moreno,Francisco  Fernández,1954.0,,,Spain
simone-borgheresi,Simone  Borgheresi,1968.0,,,Italy
laurent-fignon,Laurent  Fignon,1960.0,67.0,174.0,France
claudio-imhof,Claudio  Imhof,1990.0,80.0,191.0,Switzerland
emanuel-buchmann,Emanuel  Buchmann,1992.0,59.0,180.0,Germany
jose-maria-palacin-salgado,José María  Palacín,1964.0,,,Spain
didier-virvaleix,Didier  Virvaleix,1966.0,,,France
mathias-le-turnier,Mathias Le Turnier,1995.0,65.0,180.0,France
alessandro-de-marchi,Alessandro De Marchi,1986.0,65.0,181.0,Italy
antonio-menendez,Antonio  Menéndez,1946.0,,,Spain
jo-vrancken,Jo  Vrancken,1948.0,,,Netherlands
chris-barton,Chris  Barton,1988.0,77.0,188.0,United States
arjen-livyns,Arjen  Livyns,1994.0,58.0,170.0,Belgium
jose-xavier,José  Guimarães,1961.0,,,Portugal
giuseppe-faraca,Giuseppe  Faraca,1959.0,,,Italy
lucas-euser,Lucas  Euser,1983.0,56.0,170.0,United States
andreas-kron,Andreas  Kron,1998.0,63.0,177.0,Denmark
fabio-bordonali,Fabio  Bordonali,1963.0,,,Italy
erich-loder,Erich  Loder,1952.0,,,Switzerland
gabriel-mascaro,Gabriel  Mascaró,1944.0,,,Spain
bruno-vicino,Bruno  Vicino,1952.0,,,Italy
bryan-coquard,Bryan  Coquard,1992.0,59.0,171.0,France
francesco-rossignoli,Francesco  Rossignoli,1963.0,,,Italy
samuele-schiavina,Samuele  Schiavina,1971.0,,,Italy
aaron-kemps,Aaron  Kemps,1983.0,73.0,181.0,Australia
alessio-girelli,Alessio  Girelli,1972.0,,,Italy
jefferson-cepeda-hernandez,Jefferson Alveiro  Cepeda,1996.0,61.0,170.0,Ecuador
volodymyr-bileka,Volodymyr  Bileka,1979.0,65.0,170.0,Ukraine
hansrudi-marki,Hansrüdi  Marki,1960.0,,,Switzerland
ben-o-connor,Ben  O'Connor,1995.0,67.0,188.0,Australia
gerd-audehem,Gerd  Audehem,1968.0,,,Germany
aaron-verwilst,Aaron  Verwilst,1997.0,68.0,181.0,Belgium
kenny-van-der-schueren,Kenny Van Der Schueren,1982.0,,,Belgium
roger-rosiers,Roger  Rosiers,1946.0,78.0,178.0,Belgium
david-tanner,David  Tanner,1984.0,70.0,184.0,Australia
sebastien-delfosse,Sébastien  Delfosse,1982.0,73.0,187.0,Belgium
rob-britton,Rob  Britton,1984.0,,188.0,Canada
lluis-guillermo-mas,Lluís  Mas,1989.0,69.0,181.0,Spain
martial-locatelli,Martial  Locatelli,1971.0,,,France
fabio-casas,Fabio  Casas,1959.0,,,Colombia
vladislav-bobrik,Vladislav  Bobrik,1971.0,,,Russia
gustavo-miguel-otero,Gustavo Miguel  Otero,1973.0,,,Spain
nicola-conci,Nicola  Conci,1997.0,68.0,185.0,Italy
niko-eeckhout,Niko  Eeckhout,1970.0,73.0,173.0,Belgium
diego-andres-camargo,Diego Andrés  Camargo,1998.0,65.0,176.0,Colombia
manuel-vazquez-hueso,Manuel  Vázquez,1981.0,67.0,170.0,Spain
vitor-gamito,Vitor  Gamito,1970.0,66.0,183.0,Portugal
tom-steels,Tom  Steels,1971.0,73.0,179.0,Belgium
ben-turner,Ben  Turner,1999.0,74.0,194.0,Great Britain
ramon-carretero,Ramón  Carretero,1990.0,62.0,176.0,Panama
sergey-renev,Sergey  Renev,1985.0,68.0,184.0,Kazakhstan
carlos-oyarzun,Carlos Iván  Oyarzún,1981.0,66.0,184.0,Chile
shane-archbold,Shane  Archbold,1989.0,79.0,182.0,New Zealand
mario-de-clercq,Mario De Clercq,1966.0,66.0,174.0,Belgium
jose-antonio-carrasco-ramirez,José Antonio  Carrasco,1980.0,,,Spain
adrian-honkisz,Adrian  Honkisz,1988.0,61.0,176.0,Poland
maurits-lammertink,Maurits  Lammertink,1990.0,61.0,169.0,Netherlands
sebastien-portal,Sébastien  Portal,1982.0,,,France
dave-lloyd,Dave  Lloyd,1949.0,76.0,172.0,Great Britain
robert-retschke,Robert  Retschke,1980.0,66.0,180.0,Germany
jefferson-alexander-cepeda,Jefferson Alexander  Cepeda,1998.0,56.0,164.0,Ecuador
sylwester-szmyd,Sylwester  Szmyd,1978.0,60.0,179.0,Poland
steele-von-hoff,Steele Von Hoff,1987.0,70.0,180.0,Australia
simone-bevilacqua,Simone  Bevilacqua,1997.0,75.0,181.0,Italy
kanstantsin-siutsou,Kanstantsin  Siutsou,1982.0,68.0,183.0,Belarus
marco-coledan,Marco  Coledan,1988.0,83.0,190.0,Italy
efrain-gutierrez-sanchez,Efraín  Gutiérrez,1980.0,,,Spain
martin-havik,Martin  Havik,1955.0,,,Netherlands
jonathan-garcia,Jonathan  Garcia,1981.0,,,United States
dominique-rault,Dominique  Rault,1971.0,,,France
dionisio-galparsoro,Dionisio  Galparsoro,1978.0,67.0,178.0,Spain
adam-blythe,Adam  Blythe,1989.0,68.0,175.0,Great Britain
jean-paul-hosotte,Jean-Paul  Hosotte,1955.0,,,France
domenico-pozzovivo,Domenico  Pozzovivo,1982.0,53.0,165.0,Italy
claudio-torelli,Claudio  Torelli,1954.0,,,Italy
adriano-malori,Adriano  Malori,1988.0,68.0,182.0,Italy
andrzej-sypytkowski,Andrzej  Sypytkowski,1963.0,76.0,182.0,Poland
roland-muller,Roland  Müller,1973.0,,,Switzerland
ramon-garcia-espana,Ramón  Garcia,1970.0,,,Spain
david-oloughlin,David  O'Loughlin,1978.0,68.0,180.0,Ireland
miguel-maria-lasa,Miguel María  Lasa,1947.0,68.0,173.0,Spain
hernan-buenahora,Hernan  Buenahora,1967.0,,,Colombia
jose-luis-carrasco-gamiz,José Luis  Carrasco,1982.0,,,Spain
marat-ganeev,Marat  Ganeev,1964.0,,,Russia
ariel-maximiliano-richeze,Maximiliano  Richeze,1983.0,68.0,177.0,Argentina
jean-pierre-heynderickx,Jean-Pierre  Heynderickx,1965.0,,,Belgium
marino-amadori,Marino  Amadori,1957.0,,,Italy
jonathan-gonzalez-rios,Jonathan  Gonzalez,1981.0,,,Spain
lukasz-bodnar,Łukasz  Bodnar,1982.0,68.0,176.0,Poland
vladimir-duma,Vladimir  Duma,1972.0,64.0,174.0,Ukraine
jan-mattheus,Jan  Mattheus,1965.0,,,Belgium
miguel-angel-iglesias,Miguel Ángel  Iglesias,1961.0,,,Spain
maurice-ballerstedt,Maurice  Ballerstedt,2001.0,76.0,185.0,Germany
jaime-tomas,Jaime Tomás  Florit,1967.0,,,Spain
rene-grenier,René  Grenier,1943.0,,,France
vicente-ballester,Vicente  Ballester,1980.0,,,Spain
francois-coquery,François  Coquery,1948.0,,,France
oscar-onley,Oscar  Onley,2002.0,62.0,173.0,Great Britain
ivan-raimondi,Ivan  Raimondi,1969.0,,,Italy
francesco-frattini,Francesco  Frattini,1967.0,60.0,171.0,Italy
steve-bauer,Steve  Bauer,1959.0,72.0,170.0,Canada
martin-hvastija,Martin  Hvastija,1969.0,75.0,184.0,Slovenia
ronan-pensec,Ronan  Pensec,1963.0,,,France
armando-ceci,Armando  Ceci,1966.0,,,Belgium
owain-doull,Owain  Doull,1993.0,71.0,181.0,Great Britain
john-lee-augustyn,John-Lee  Augustyn,1986.0,65.0,178.0,South Africa
willem-peeters,Willem  Peeters,1953.0,,,Belgium
omar-hernandez,Omar  Hernandez,1962.0,,,Colombia
renato-laghi,Renato  Laghi,1944.0,,,Italy
wim-sels,Wim  Sels,1967.0,,,Belgium
tullio-bertacco,Tullio  Bertacco,1957.0,,,Italy
pierre-latour,Pierre  Latour,1993.0,66.0,181.0,France
filippo-fiorelli,Filippo  Fiorelli,1994.0,,,Italy
danilo-hondo,Danilo  Hondo,1974.0,73.0,184.0,Germany
agustin-gago-pena,Agustín  Peña,1979.0,,,Spain
ermano-capelli,Ermano  Capelli,1985.0,78.0,195.0,Italy
nikita-novikov,Nikita  Novikov,1989.0,77.0,187.0,Russia
romain-costermans,Romain  Costermans,1961.0,,,Belgium
davide-martinelli,Davide  Martinelli,1993.0,71.0,186.0,Italy
francisco-guerreiro,Francisco  Guerreiro,2000.0,60.0,182.0,Portugal
paolo-rosola,Paolo  Rosola,1957.0,,,Italy
nevens-guy,Guy  Nevens,,,,Belgium
biniam-girmay,Biniam  Girmay,2000.0,70.0,184.0,Eritrea
fabio-roscioli,Fabio  Roscioli,1965.0,,,Italy
olivier-bonnaire,Olivier  Bonnaire,1983.0,67.0,178.0,France
mauro-da-dalto,Mauro Da Dalto,1981.0,72.0,181.0,Italy
bas-tietema,Bas  Tietema,1995.0,74.0,185.0,Netherlands
bastien-tronchon,Bastien  Tronchon,2002.0,72.0,185.0,France
dmitri-konychev,Dmitri  Konychev,1966.0,77.0,186.0,Russia
hernan-dario-munoz,Hernan Dario  Muñoz,1973.0,,,Colombia
bram-de-groot,Bram de Groot,1974.0,65.0,173.0,Netherlands
alexei-kuznetsov,Alexei  Kuznetsov,1976.0,,,Uzbekistan
tuur-dens,Tuur  Dens,2000.0,81.0,184.0,Belgium
christian-wegmann,Christian  Wegmann,1976.0,,,Germany
alf-segersall,Alf  Segersall,1956.0,65.0,175.0,Sweden
dominique-rollin,Dominique  Rollin,1982.0,83.0,188.0,Canada
emilien-benoit-berges,Émilien-Benoît  Bergès,1983.0,,,France
nicolas-dumont,Nicolas  Dumont,1973.0,,,France
joaquim-agostinho,Joaquim  Agostinho,1943.0,,,Portugal
marc-van-orsouw,Marc Van Orsouw,1964.0,,,Netherlands
rik-van-linden,Rik Van Linden,1949.0,,,Belgium
rudy-barbier,Rudy  Barbier,1992.0,79.0,179.0,France
ferdinand-julien,Ferdinand  Julien,1946.0,,,France
malte-urban,Malte  Urban,1974.0,,,Germany
matteo-frutti,Matteo  Frutti,1975.0,,,Italy
david-clinger,David  Clinger,1977.0,77.0,183.0,United States
robert-forster,Robert  Förster,1978.0,83.0,177.0,Germany
alexandre-zinoview,Alexandre  Zinoview,1961.0,,,Ukraine
patrick-serra,Patrick  Serra,1962.0,,,Sweden
anthony-delaplace,Anthony  Delaplace,1989.0,65.0,181.0,France
gilles-sanders,Gilles  Sanders,1964.0,,,France
angelo-tulik,Angélo  Tulik,1990.0,64.0,176.0,France
bernard-vallet,Bernard  Vallet,1954.0,,,France
mattia-viel,Mattia  Viel,1995.0,72.0,180.0,Italy
stan-van-tricht,Stan Van Tricht,1999.0,64.0,174.0,Belgium
oleg-joukov,Oleg  Zhukov,1976.0,,,Russia
flip-vandeghinste,Flip  Vandeghinste,1956.0,,,Belgium
andris-nauduzs,Andris  Naudužs,1975.0,78.0,183.0,Latvia
walter-dalgal,Walter  Dalgal,1954.0,,,Italy
daniel-willems,Daniel  Willems,1956.0,,,Belgium
herbert-niederberger,Herbert  Niederberger,1965.0,,,Switzerland
sven-erik-bystrom,Sven Erik  Bystrøm,1992.0,73.0,188.0,Norway
jean-jacques-fussien,Jean-Jacques  Fussien,1952.0,,,France
edi-kagi,Edi  Kagi,1960.0,,,Switzerland
thimo-willems,Thimo  Willems,1996.0,67.0,175.0,Belgium
ruslan-gryschenko,Ruslan  Gryschenko,1981.0,,,Ukraine
